Game loaded!
Abstraction ended!
Infoset: /J?/P1:c/P2:raise2/P1:raise2/P2:c/C:9 with strategies c:0.999968 raise4:3.2e-05 
Infoset: /J?/P1:raise2/P2:raise2/P1:c/C:J with strategies c:0.116886 raise4:0.883114 
Infoset: /J?/P1:raise2/P2:raise2/P1:c/C:K with strategies c:1.0 raise4:0.0 
Infoset: /K?/P1:c/P2:raise2/P1:raise2/P2:c/C:T/P1:raise4/P2:raise4 with strategies c:1.0 f:0.0 
Infoset: /K?/P1:c/P2:raise2/P1:c/C:Q/P1:raise4/P2:raise4 with strategies c:1.0 f:0.0 
Infoset: /J?/P1:raise2/P2:raise2/P1:c/C:Q with strategies c:0.116886 raise4:0.883114 
Infoset: /9?/P1:raise2/P2:c/C:9 with strategies c:0.055894 raise4:0.944106 
Infoset: /J?/P1:raise2/P2:raise2/P1:c/C:T with strategies c:1.0 raise4:0.0 
Infoset: /9?/P1:raise2/P2:c/C:T/P1:c/P2:raise4 with strategies c:0.993938 f:0.0 raise4:0.006062 
Infoset: /K?/P1:c/P2:raise2/P1:raise2/P2:c/C:K/P1:c/P2:raise4 with strategies c:0.0 f:0.0 raise4:1.0 
Infoset: /T?/P1:c/P2:c/C:K/P1:c/P2:raise4 with strategies c:0.0 f:0.9961 raise4:0.0039 
Infoset: /9?/P1:c/P2:c/C:T/P1:c/P2:raise4 with strategies c:0.485468 f:0.006224 raise4:0.508309 
Infoset: /J?/P1:c/P2:c/C:T/P1:c/P2:raise4 with strategies c:0.0 f:1.0 raise4:0.0 
Infoset: /K?/P1:c/P2:c/C:9/P1:raise4/P2:raise4 with strategies c:1.0 f:0.0 
